date,event,actual,forecast
2016-01-20,CPI,1.4,1.3
2016-02-19,CPI,1.0,1.4
2016-03-16,CPI,1.0,1.0
2016-04-14,CPI,0.9,1.0
2016-05-17,CPI,1.1,0.9
2016-06-16,CPI,1.0,1.1
2016-07-15,CPI,1.0,1.0
2016-08-16,CPI,0.8,1.0
2016-09-16,CPI,1.1,0.8
2016-10-18,CPI,1.5,1.1
2016-11-17,CPI,1.6,1.5
2016-12-15,CPI,1.7,1.6
2017-01-18,CPI,2.1,1.7
2017-02-15,CPI,2.5,2.1
2017-03-15,CPI,2.7,2.5
2017-04-14,CPI,2.4,2.7
2017-05-12,CPI,2.2,2.4
2017-06-14,CPI,1.9,2.2
2017-07-14,CPI,1.6,1.9
2017-08-11,CPI,1.7,1.6
2017-09-14,CPI,1.9,1.7
2017-10-13,CPI,2.2,1.9
2017-11-15,CPI,2.0,2.2
2017-12-13,CPI,2.2,2.0
2018-01-12,CPI,2.1,2.2
2018-02-14,CPI,2.1,2.1
2018-03-13,CPI,2.2,2.1
2018-04-11,CPI,2.4,2.2
2018-05-10,CPI,2.5,2.4
2018-06-12,CPI,2.8,2.5
2018-07-12,CPI,2.9,2.8
2018-08-10,CPI,2.9,2.9
2018-09-13,CPI,2.7,2.9
2018-10-11,CPI,2.3,2.7
2018-11-14,CPI,2.5,2.3
2018-12-12,CPI,2.2,2.5
2019-01-11,CPI,1.9,2.2
2019-02-13,CPI,1.6,1.9
2019-03-12,CPI,1.5,1.6
2019-04-10,CPI,1.9,1.5
2019-05-10,CPI,2.0,1.9
2019-06-12,CPI,1.8,2.0
2019-07-11,CPI,2.1,1.8
2019-08-13,CPI,1.8,2.1
2019-09-12,CPI,1.7,1.8
2019-10-10,CPI,1.7,1.7
2019-11-13,CPI,1.8,1.7
2019-12-11,CPI,2.1,1.8
2020-01-14,CPI,2.5,2.1
2020-02-13,CPI,2.3,2.5
2020-03-11,CPI,2.3,2.3
2020-04-10,CPI,0.4,2.3
2020-05-12,CPI,0.3,0.4
2020-06-10,CPI,0.1,0.3
2020-07-14,CPI,0.6,0.1
2020-08-12,CPI,1.0,0.6
2020-09-11,CPI,1.3,1.0
2020-10-13,CPI,1.4,1.3
2020-11-12,CPI,1.2,1.4
2020-12-10,CPI,1.2,1.2
2021-01-13,CPI,1.4,1.2
2021-02-10,CPI,1.4,1.4
2021-03-10,CPI,1.7,1.4
2021-04-13,CPI,2.6,1.7
2021-05-12,CPI,4.2,2.6
2021-06-10,CPI,5.0,4.2
2021-07-13,CPI,5.4,5.0
2021-08-11,CPI,5.4,5.4
2021-09-14,CPI,5.3,5.4
2021-10-13,CPI,5.4,5.3
2021-11-10,CPI,6.2,5.4
2021-12-10,CPI,6.8,6.2
2022-01-12,CPI,7.0,6.8
2022-02-10,CPI,7.5,7.0
2022-03-10,CPI,7.9,7.5
2022-04-12,CPI,8.5,7.9
2022-05-11,CPI,8.3,8.5
2022-06-10,CPI,8.6,8.3
2022-07-13,CPI,9.1,8.6
2022-08-10,CPI,8.5,9.1
2022-09-13,CPI,8.3,8.5
2022-10-13,CPI,8.2,8.3
2022-11-10,CPI,7.7,8.2
2022-12-13,CPI,7.1,7.7
2023-01-12,CPI,6.5,7.1
2023-02-14,CPI,6.4,6.5
2023-03-14,CPI,6.0,6.4
2023-04-12,CPI,5.0,6.0
2023-05-10,CPI,4.9,5.0
2023-06-13,CPI,4.0,4.9
2023-07-12,CPI,3.0,4.0
2023-08-10,CPI,3.2,3.0